ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,,,0.11,,,,0.186,,,,0.2,,,,0.21,,
ALB,Albania,1.306,1.354,1.295,1.289,1.282,1.389,,1.305,,,,1.15,1.146,,1.153,,
DZA,Algeria,0.846,,,1,,,,1.13,,,,,1.207,,,,
AND,Andorra,2.231,,2.435,2.47,2.594,2.549,2.594,,3.697,,,3.64,3.716,,3.912,,
AGO,Angola,,,0.077,,,,,,,0.08,,,,,,,
ATG,Antigua and Barbuda,0.76,1.141,,,0.17,,,,,,,,,,,,
ARG,Argentina,2.68,,,3.01,,,,,,3.155,3.21,,,,,,
ARM,Armenia,3.042,3.591,3.156,3.156,3.051,2.987,3.526,,3.588,,,3.7,3.697,,3.762,,
AUS,Australia,2.4,2.4,2.4,2.4,2.4,2.5,2.47,2.5,,,,0.963,,,2.991,,
AUT,Austria,2.7,2.8,2.9,3.1,3.1,3.2,3.3,3.3,3.4,,,3.66,3.794,,4.749,4.853,
AZE,Azerbaijan,3.925,3.899,3.831,3.602,3.521,3.607,3.536,,3.547,,,3.63,3.794,,3.782,,
BHS,Bahamas,1.49,1.518,,1.05,,,,,,,,,,,,,
BHR,Bahrain,,,1,,,,1.596,,,1.087,2.72,,2.965,1.442,,,
BGD,Bangladesh ,0.201,,0.2,,,,0.231,,,0.257,0.3,,0.295,,,,
BRB,Barbados,1.28,,,,1.21,,,,,,1.811,,,,,,
BLR,Belarus,4.155,4.286,4.365,4.431,4.551,4.579,4.497,4.52589255,4.55,4.622401812,4.68,4.78,4.869,4.98,5.178,,
BEL,Belgium,3.5,3.6,3.7,3.7,3.8,3.9,3.9,3.9,,,,4.23,,2.987,3.013,,
BLZ,Belize,0.6,0.548,,,,1.05,,,,,,,,,0.828,,
BEN,Benin,0.058,,,,,,,,,0.04,,,,0.059,,,
BTN,Bhutan,0.16,,,,0.051,,,,,0.051,,,0.023,,,,
BOL,"Bolivia, Plurinational State of",0.34,,1.299,,,,1.22,,,,,,,,,,
BIH,Bosnia and Herzegovina,,,,1.427,1.401,1.422,1.338,,1.34,,1.4179,,,,1.638,,
BWA,Botswana,,,,,0.288,,,,,0.4,,0.336,,,,,
BRA,Brazil,1.31,1.272,1.308,,1.396,1.15,,,,,,1.694,1.72,1.764,,,
BRN,Brunei Darussalam,,0.848,,,,1.006,,1.14,,,,,,1.417,,,
BGR,Bulgaria,3.458,3.539,3.447,3.449,3.463,3.399,3.384,,3.562,,,3.66,3.665,3.635,3.73,,
BFA,Burkina Faso,0.034,0.035,0.038,,,,0.04,,,0.05,,,,0.064,,,
BDI,Burundi,0.055,,,,,0.052,,,,0.03,,,,,,,
KHM,Cambodia,,,,0.297,0.296,0.16,,,,,,,,0.227,,0.23,
CMR,Cameroon,,0.074,,,,,,,,0.19,,,,,,,
CAN,Canada,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,,,1.9132,,1.975,,,
CPV,Cape Verde,,0.171,,,,,,,,0.49,,,,0.572,,,
CAF,Central African Republic,0.035,,,,,,,,,0.08,,,,,,,
TCD,Chad,,,,,,,0.025,,,0.04,,,,,,,
CHL,Chile,1.08,,,1.153,,,,,1.09,,,1.283697047,,,1.026,,
CHN,China,1.59,1.59,1.61,1.61,1.67,1.64,1.055,1.642,1.42,,1.51,,,,1.415,,
COL,Colombia,0.99,,1.16,1.27,1.088,1.32,1.34,1.35,1.37,1.38,1.39,1.41,1.42,1.43,,0.147,
COM,Comoros,,,0.074,,,,,,,0.15,,,,,,,
COG,Congo,0.251,,,,,,,,,0.2,,,0.095,,,,
COD,"Congo, the Democratic Republic of the",,0.069,,,,,,,,0.11,,,,,,,
CRI,Costa Rica,0.854,0.864,0.872,0.901,1.719,1.32,,,,,,,,,,,
CIV,C™te d'Ivoire,,0.09,,,,,,,,0.12,,,,0.144,,,
HRV,Croatia,2.036,2.25,2.259,2.288,2.352,2.383,2.374,2.4,2.444,2.4,2.5,2.47,2.59,2.661179389,2.601,,
CUB,Cuba,5.18,,5.304,,,5.897,,5.91,,,,,6.399,,,6.723,
CYP,Cyprus,,2.55,,,2.119,2.983,,2.342,,,,2.3,,2.584,,,
CZE,Czech Republic,3,3,3.1,3,3.1,3.4,3.4,3.5,3.5,,,3.58,3.61,3.625,3.672,,
DNK,Denmark,2.6,2.6,2.7,2.8,2.8,2.8,2.8,2.9,,3.59,,3.163,3.419,,3.424,,
DJI,Djibouti,0.191,0.14,,,0.133,,,,,0.181,0.18,0.229,,,,,
DMA,Dominica,0.47,0.493,0.5,,,,,,,,,,,,,,
DOM,Dominican Republic,1.5,,2.156,,,1.88,,,,,,,,,,,
ECU,Ecuador,1.33,1.325,1.696,,1.397,1.48,,,,,,,,,1.687,,
EGY,Egypt,,2.02,1.6,,,2.118,,,,,2.43,,,,2.83,,
SLV,El Salvador,0.91,,1.071,,,1.211,,1.24,,,,1.5,,1.596,,,
GNQ,Equatorial Guinea,0.208,0.246,,,,,,,,0.3,,,,,,,
ERI,Eritrea,,0.03,,,,,,,,0.05,,,,,,,
EST,Estonia,3.191,3.148,3.114,3.11,3.206,4.475,3.16,,,,,3.33,,3.409,3.334,,
ETH,Ethiopia,,0.025,0.023,0.021,0.02,0.021,0.028,0.029,0.03,,,,0.022,,,,
FJI,Fiji,,,0.476,0.357,0.337,,,,0.4529,,,,,,0.426,,
FIN,Finland,2.2,2.3,2.4,2.4,2.5,2.6,2.6,2.6,2.6,,,3.3,3.319,2.735,2.905,,
FRA,France,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.367,,3.41,3.736,3.497,,3.447,
GAB,Gabon,0.289,,,,,,,,,0.29,,,,,,,
GMB,Gambia,,,0.035,,,,,,0.11,,,,,0.038,,,
GEO,Georgia,4.792,4.457,5.192,5.042,3.768,4.731,4.295,3.907,4.089,,,4.65,4.538,,4.762,,
DEU,Germany,3.1,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.4,,,3.44,3.483,3.531,3.601,,
GHA,Ghana,,0.062,,,,,,0.09,,0.15,,,,0.11,0.085,,
GRC,Greece,3.9,3.9,4,4.1,4.2,4.3,4.4,,,,5,5.35,,6.043,6.167,,
GRD,Grenada,0.65,,0.5,0.9756,,,,,0.725,,,,,,,,
GTM,Guatemala,1.1,,0.933,,0.9,,,,,,,,,,,,
GIN,Guinea,0.13,,,,,0.094,,,,0.11,0.1,,,,,,
GNB,GuineaBissau,,0.166,,,,,,,,0.12,,,,0.045,,,
GUY,Guyana,0.33,,0.181,,,0.48,,,,,,,,,,,
HTI,Haiti,0.16,,,0.25,,,,,,,,,,,,,
HND,Honduras,0.65,,0.832,,,0.57,,,,,,,,,,,
HUN,Hungary,3,3,3,3.1,3.1,,,3.2,3.2,,,3.04,2.783,3.097,3.031,,
ISL,Iceland,3,3.1,3.3,3.3,3.4,3.4,3.5,3.6,3.6,3.616,,3.77,,3.934,,3.733,
